Country,Area,Co2,CPI,GDP,Population,Latitude,Longitude
United States,9833517,5006302,117.24,2.14E+13,328239523,37.09,-95.71
China,9596960,9893038,125.08,1.99E+13,1397715000,35.86,104.2
Japan,377944,1135886,105.48,5.08E+12,126226568,36.2,138.25
Germany,357022,727973,112.85,3.85E+12,83132799,51.17,10.45
United Kingdom,243610,379025,119.62,2.83E+12,66834405,55.38,-3.44
France,643801,303276,110.05,2.72E+12,67059887,46.23,2.21
India,3287263,2407672,180.44,2.61E+12,1366417754,20.59,78.96
South Korea,99720,620302,115.16,2.03E+12,51709098,35.91,127.77
Italy,301340,320411,110.62,2.00E+12,60297396,41.87,12.57
