Country,Area,Co2,CPI,GDP,Population,Latitude,Longitude,continent,Life expectancy
Uganda,241038,5680,173.87,34387229486,44269594,1.37,32.29,Africa,63
Ukraine,603550,202250,281.66,1.54E+11,44385155,48.38,31.17,Europe,71.6
United Arab Emirates,83600,206324,114.52,4.21E+11,9770529,23.42,53.85,Asia,77.8
United Kingdom,243610,379025,119.62,2.83E+12,66834405,55.38,-3.44,Europe,81.3
United States of America,9833517,5006302,117.24,2.14E+13,328239523,37.09,-95.71,North America,78.5
Uruguay,176215,6766,202.92,56045912952,3461734,-32.52,-55.77,South America,77.8
Uzbekistan,447400,91811,,57921286440,33580650,41.38,64.59,Asia,71.6
Vanuatu,12189,147,117.13,917058851,299882,-15.38,166.96,Oceania,70.3
Venezuela,912050,164175,2740.27,4.82E+11,28515829,6.42,-66.59,South America,72.1
Vietnam,331210,192668,163.52,2.62E+11,96462106,14.06,108.28,Asia,75.3
Yemen,527968,10609,157.58,26914402224,29161922,15.55,48.52,Asia,66.1
Zambia,752618,5141,212.31,23064722446,17861030,-13.13,27.85,Africa,63.5
Zimbabwe,390757,10983,105.51,21440758800,14645468,-19.02,29.15,Africa,61.2
